Sector,Subsector,Region,Market,Report_Year,Report_Half,H1_Low,H1_High,H2_Low,H2_High,H1_Alt_Low,H1_Alt_High,H2_Alt_Low,H2_Alt_High
Hotel,,Hotel -West,Albuquerque,2021,1,7.75,9.0,,,8.25,9.25,,
Hotel,,Hotel -South,Atlanta,2021,1,7.25,8.5,,,7.5,8.5,,
Hotel,,Hotel -South,Austin,2021,1,7.25,8.5,,,7.25,8.25,,
Hotel,,Hotel -East,Baltimore,2021,1,7.5,8.5,,,8.5,9.5,,
Hotel,,Hotel -East,Boston,2021,1,5.5,7.0,,,5.5,7.5,,
Hotel,,Hotel -East,Charlotte,2021,1,7.0,8.0,,,8.0,9.0,,
Hotel,,Hotel -Midwest,Chicago,2021,1,7.25,9.0,,,8.0,10.0,,
Hotel,,Hotel -Midwest,Cincinnati,2021,1,8.5,9.0,,,8.0,9.0,,
Hotel,,Hotel -Midwest,Columbus,2021,1,8.5,9.0,,,7.5,8.5,,
Hotel,,Hotel -South,Dallas/Fort Worth,2021,1,7.75,8.75,,,7.25,8.75,,
Hotel,,Hotel -West,Denver,2021,1,7.0,7.5,,,8.0,9.0,,
Hotel,,Hotel -Midwest,Detroit,2021,1,8.0,8.75,,,8.0,8.75,,
Hotel,,Hotel -West,Honolulu,2021,1,6.75,9.0,,,6.5,8.75,,
Hotel,,Hotel -South,Houston,2021,1,7.5,8.5,,,8.0,9.0,,
Hotel,,Hotel -Midwest,Indianapolis,2021,1,8.0,9.0,,,8.0,9.0,,
Hotel,,Hotel -South,Jacksonville,2021,1,7.0,8.0,,,7.25,8.0,,
Hotel,,Hotel -West,Las Vegas,2021,1,7.75,8.75,,,7.5,8.5,,
Hotel,,Hotel -Midwest,Minneapolis/St Paul,2021,1,7.5,8.5,,,7.5,8.5,,
Hotel,,Hotel -South,Nashville,2021,1,7.75,8.25,,,7.75,8.25,,
Hotel,,Hotel -South,New Orleans,2021,1,7.5,8.5,,,7.75,8.75,,
Hotel,,Hotel -Midwest,Oklahoma City,2021,1,8.0,9.5,,,8.25,9.5,,
Hotel,,Hotel -South,Orlando,2021,1,6.75,7.75,,,6.75,7.75,,
Hotel,,Hotel -East,Philadelphia,2021,1,7.5,8.25,,,7.75,8.5,,
Hotel,,Hotel -West,Phoenix,2021,1,7.5,7.75,,,7.0,7.75,,
Hotel,,Hotel -East,Pittsburgh,2021,1,8.5,9.0,,,8.0,9.0,,
Hotel,,Hotel -West,Portland,2021,1,7.0,8.25,,,7.25,7.75,,
Hotel,,S. FL: West Palm Beach 8.00 - 8.50 6.75 - 7.75 q 8.50 - 9.50 7.75 - 8.75 q,San Antonio,2021,1,7.0,8.0,,,7.75,8.75,,
Hotel,,Hotel -West,Seattle,2021,1,6.25,7.0,,,6.25,7.0,,
Hotel,,S. FL: West Palm Beach 8.00 - 8.50 6.75 - 7.75 q 8.50 - 9.50 7.75 - 8.75 q,Tampa,2021,1,7.0,8.0,,,7.0,8.0,,
Industrial,,Industrial -West,Albuquerque,2021,1,8.0,8.25,,,8.25,8.75,,
Industrial,,Industrial -South,Atlanta,2021,1,4.5,5.0,,,3.25,3.75,,
Industrial,,Industrial -South,Austin,2021,1,5.25,6.0,,,3.5,4.25,,
Industrial,,Industrial -East,Baltimore,2021,1,4.5,4.65,,,4.0,4.4,,
Industrial,,Industrial -East,Boston,2021,1,4.75,5.25,,,3.0,3.35,,
Industrial,,Industrial -East,Charlotte,2021,1,4.9,5.25,,,3.75,4.25,,
Industrial,,Industrial -Midwest,Chicago,2021,1,4.5,5.0,,,4.0,4.25,,
Industrial,,Industrial -Midwest,Cincinnati,2021,1,4.95,5.25,,,4.25,4.5,,
Industrial,,Industrial -Midwest,Cleveland,2021,1,6.25,6.75,,,5.5,5.75,,
Industrial,,Industrial -Midwest,Columbus,2021,1,5.0,5.25,,,3.7,3.95,,
Industrial,,Industrial -South,Dallas/Fort Worth,2021,1,4.5,5.0,,,3.9,4.3,,
Industrial,,Industrial -West,Denver,2021,1,4.25,4.75,,,3.8,4.75,,
Industrial,,Industrial -Midwest,Detroit,2021,1,6.0,6.25,,,5.0,5.25,,
Industrial,,Industrial -South,El Paso,2021,1,6.5,7.25,,,6.0,6.75,,
Industrial,,Industrial -West,Honolulu,2021,1,5.0,6.0,,,4.0,4.5,,
Industrial,,Industrial -South,Houston,2021,1,4.5,5.0,,,3.9,4.5,,
Industrial,,Industrial -Midwest,Indianapolis,2021,1,5.0,5.25,,,4.25,4.5,,
Industrial,,Industrial -South,Jacksonville,2021,1,5.25,5.75,,,4.0,4.5,,
Industrial,,Industrial -Midwest,Kansas City,2021,1,5.75,6.0,,,5.0,5.25,,
Industrial,,Industrial -West,Las Vegas,2021,1,4.75,5.25,,,3.7,4.25,,
Industrial,,Industrial -South,Louisville,2021,1,5.25,5.75,,,4.25,4.5,,
Industrial,,Industrial -South,Memphis,2021,1,5.5,6.0,,,4.5,5.0,,
Industrial,,Industrial -Midwest,Minneapolis/St Paul,2021,1,5.25,5.5,,,4.75,5.0,,
Industrial,,Industrial -South,Nashville,2021,1,5.0,5.5,,,4.0,4.5,,
Industrial,,Industrial -South,Oklahoma City,2021,1,6.0,7.0,,,5.0,5.75,,
Industrial,,Industrial -South,Orlando,2021,1,4.75,5.25,,,3.75,4.0,,
Industrial,,Industrial -East,Philadelphia,2021,1,4.5,5.0,,,3.0,3.35,,
Industrial,,Industrial -West,Phoenix,2021,1,4.75,5.25,,,3.5,4.25,,
Industrial,,Industrial -East,Pittsburgh,2021,1,5.0,5.75,,,4.0,4.5,,
Industrial,,Industrial -West,Portland,2021,1,4.5,5.0,,,4.0,4.5,,
Industrial,,Industrial -East,Raleigh-Durham,2021,1,5.5,6.0,,,3.75,4.25,,
Industrial,,Industrial -West,Reno,2021,1,4.75,5.5,,,3.7,4.25,,
Industrial,,Industrial -West,Sacramento,2021,1,5.0,5.5,,,4.0,4.5,,
Industrial,,Industrial -West,Salt Lake City,2021,1,5.25,5.75,,,3.85,4.25,,
Industrial,,Industrial -South,San Antonio,2021,1,5.25,6.0,,,4.75,5.25,,
Industrial,,Industrial -West,San Diego,2021,1,4.5,5.0,,,3.5,4.0,,
Industrial,,Industrial -South,Savannah,2021,1,5.15,5.5,,,4.0,4.25,,
